기간,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2021/09,합계,32.74007739,94.72800574,115.70386769,213.88820718,125.42709422,130.29143442,96.7323837,97.0709028,98.7403649,101.3614549,109.2927563,93.3066187,150.9736834,0,100.62105501,88.37177909
2021/08,합계,40.96712466,99.64399186,109.68738563,532.42806458,141.93106579,163.84047231,92.6850495,92.7576511,97.9136241,100.6974973,114.3688235,91.6457939,156.942158,0,98.20623648,98.44885188
2021/07,합계,64.28444661,99.91434622,99.60551811,212.50402631,121.21698307,137.92916329,86.1050101,90.2787505,91.089834,92.72835,104.7636151,85.034383,142.752771,0,91.46407923,99.19819252
2021/06,합계,69.58648274,91.96798163,87.97843256,183.70142076,101.1989979,102.76728438,82.1299504,87.5,83.944343,86.6458097,90.9281638,81.2522193,125.5759618,0,18.76266708,89.6313753
2021/05,합계,64.64810568,84.9650667,83.14608531,163.52840868,94.27888058,94.53845518,78.5520332,78.5936814,78.9505774,80.7706555,83.7225699,78.3327445,105.1592072,0,80.544775,82.19113102
2021/04,합계,62.56654164,80.60258847,78.76481946,190.20489751,88.54660397,90.28889388,75.7803774,75.8105682,76.3381412,80.4397262,80.2147732,75.8615521,108.2728171,0,78.06710775,78.36256078
2021/03,합계,69.46125877,90.09813044,87.53677174,228.64110815,99.03108113,100.2326464,83.6141483,83.703714,84.7485139,89.0520978,90.351124,83.7674624,115.3005174,0,86.03088385,87.39647126
2021/02,합계,71.78331426,90.91004596,95.04657197,208.98914204,106.84043241,125.5796997,74.7028338,74.693871,75.47498,77.9309317,93.9059745,74.6225484,106.041088,0,78.91643911,90.72377975
2021/01,합계,72.43854708,91.12438996,81.9701294,175.79733557,106.68543744,146.17479833,70.0970036,70.1082067,71.1658549,72.3086273,93.1833488,70.6775058,106.487029,0,75.00856517,91.79546517
2020/12,합계,72.90218268,82.36681002,79.06149519,149.45826414,99.02642367,123.10939128,66.6742617,66.8431802,68.0250892,68.5414183,86.441445,67.0702582,96.8783166,0,70.67271751,85.64872839
2020/11,합계,51.0150919,59.97991822,59.31836237,164.92280559,67.70369997,79.27684116,49.4960171,49.6555389,50.1399256,51.221579,60.3894882,49.6585309,80.884747,0,51.33205627,60.17150801
2020/10,합계,49.69607462,57.7732282,101.53408233,179.22132332,63.45862453,66.26933189,50.0582107,50.2195469,50.8239716,53.1987195,56.1912767,50.2217404,87.2891801,0,51.31575121,57.23947704
2020/09,합계,57.34674171,65.88382766,160.99330173,173.04740745,76.82324877,87.30823153,55.0308102,55.1813571,57.7098987,59.6615575,64.3811489,54.9485098,98.1468406,0,74.61486737,68.85435906
2020/08,합계,69.72101125,79.91048146,84.91175221,299.94171108,103.50722043,126.3825993,61.4327457,61.9494241,67.8661039,67.9786578,75.4084378,60.2895037,117.8475992,0,90.1096834,84.68061431
2020/07,합계,76.55064612,90.1279391,82.54074525,933.78421366,126.77972302,141.23606103,69.5922607,72.4061542,76.8918503,74.0650596,89.4382942,66.951593,127.3905086,0,94.85722957,95.16641536
2020/06,합계,61.47366731,80.8042972,71.40146754,354.61677605,102.13917615,107.41174719,69.0432406,0,74.6681,73.7871585,84.2665796,66.60303,113.3406628,0,89.79045065,79.7264922
2020/05,합계,46.45436493,77.25511662,72.7924399,270.74317185,100.79498813,98.45728221,69.4606595,69.7239802,73.9347733,75.5889398,79.5276388,69.5839889,128.8347939,0,78.98256122,70.64181186
2020/04,합계,48.92232611,80.3314791,78.98670735,171.37081619,96.11901662,95.43386752,74.1253948,74.2243741,76.0847634,83.5018909,82.5102917,73.4753404,133.9901549,0,81.05571333,74.2414846
2020/03,합계,56.37741527,87.15150017,89.24805675,202.39827152,103.6264755,117.37524935,82.9047185,82.9942726,83.7981292,86.8002752,93.9604793,83.2074978,123.0662999,0,84.62054235,83.03626856
2020/02,합계,60.74314064,91.18974621,91.50288079,275.32104569,114.60055383,136.72806633,81.4258479,81.5320062,82.2994522,85.4858265,101.3488709,81.5065487,130.4630102,0,95.74561694,90.89757949
2020/01,합계,65.1539579,96.05033677,96.16491583,258.84040092,121.08463932,154.71876877,83.8182195,83.9411293,84.9796165,88.7479951,108.0660781,83.7964788,145.5895026,0,96.32430884,98.03552973
2019/12,합계,81.28033039,86.7753185,94.02063966,174.69631994,113.0782396,119.73317023,83.439445,83.5216153,86.0766053,92.8751569,106.7411254,83.6389639,130.4606549,0,97.07443035,96.40268309
2019/11,합계,64.31181087,79.88866096,86.28702736,241.39025745,99.58010201,101.01315124,80.6873489,79.669353,85.6266715,97.3793158,91.7989242,81.1828548,116.3022905,0,97.3170425,83.53307656
2019/10,합계,52.6415696,77.79960947,90.52714756,201.5610977,106.17364287,104.68270647,86.3976533,86.9827471,92.5919745,104.2710233,94.7011157,86.5278544,122.7499076,0,86.26923307,80.23925411
2019/09,합계,50.66897563,76.51210859,83.98689336,332.79634933,102.57342669,105.38944542,77.8569783,78.1480794,86.170724,97.9844201,91.700402,76.8721387,124.82314,81.8273507,77.91192204,78.08995621
2019/08,합계,60.68451064,88.84008912,96.85905631,346.2132947,124.46249974,128.39933493,82.9099528,82.921356,92.4127569,98.1485129,105.4536887,80.9963627,144.7820223,99.9766228,83.18661291,93.42257906
2019/07,합계,57.34323416,86.16252735,92.07526414,393.79210836,120.36750862,121.69650405,78.038049,82.1459772,87.0946742,91.6892455,100.6599858,75.8996228,123.1382424,100.2509477,77.90361741,90.23432103
2019/06,합계,45.0403618,77.0444976,83.48737454,289.77030954,105.11407766,99.3803411,76.8949555,75.5484962,84.4047297,93.2675302,88.8156986,75.5521296,106.1640486,96.4189985,76.95078767,75.07439809
2019/05,합계,43.4928264,73.66049781,84.71014155,226.98940374,94.12616841,95.1704667,78.6258345,78.5915584,84.0292558,89.7711386,85.9818743,78.1142938,109.2643718,82.3370689,78.85889785,70.08884097
2019/04,합계,52.8253925,84.81556903,105.21906472,215.6477282,114.16807465,115.50284027,98.5693712,0,102.5761929,107.0672702,106.4156496,98.8300158,116.5698597,87.6434906,98.56141901,84.1989103
2019/03,합계,61.98500745,94.4905607,124.46462309,168.4701338,135.98354667,138.28061691,111.737306,0,112.9855635,118.3284394,126.443324,112.6414028,111.4654655,90.0212099,111.86442614,97.91755394
2019/02,합계,64.60272859,96.71286795,123.44124493,241.13608862,142.40877037,150.24397579,104.3620608,0,104.4627683,111.7455711,130.9134399,103.5805744,103.6562032,102.9773193,103.83113319,103.13252668
2019/01,합계,71.51296183,104.75545838,131.98236795,238.65983731,151.78885326,159.22031476,110.4121626,0,113.2553764,120.4970241,139.2841888,110.6463184,110.6451679,107.1950597,110.61896861,112.77122302
2018/12,합계,71.86873338,78.87820986,126.7121043,251.17857134,144.15701334,152.08490976,108.8918774,107.8894036,112.1424823,124.1732625,130.4271302,108.8073005,109.3290902,106.5237366,108.94585785,99.16537552
2018/11,합계,62.60193131,73.68133559,113.80349041,238.31627122,126.0342122,126.08944477,104.2647507,104.3664399,108.6343626,115.7744675,115.1468976,104.6035921,104.3978719,107.8482257,104.45682762,87.78228237
2018/10,합계,58.21142931,70.70030338,107.2576369,174.50023238,117.0691418,116.31552249,101.5566008,101.3677579,105.5499734,113.275904,109.0091502,101.5804373,101.6425975,87.2380553,101.63722743,82.28742315
2018/09,합계,55.48334474,70.507718,103.45751843,272.73951618,124.47647075,115.55684644,90.2912681,90.2895447,96.0507334,106.536495,103.9033711,89.1024257,89.6579338,83.8390434,90.58319471,80.58055058
2018/08,합계,61.73313945,80.4145303,102.05098415,194.29826609,124.44534943,127.31950975,89.1508117,89.3139097,98.0847081,107.1180286,109.8477267,87.8126714,89.8456742,105.8066581,89.16866852,89.64482117
2018/07,합계,63.11517154,87.36316096,97.60068272,202.64441292,122.30262602,127.2453681,84.8025525,0,94.9825245,97.916206,102.7867894,82.6561896,85.4936379,104.8332886,84.98077566,92.19713913
2018/06,합계,60.04301175,83.60063754,96.25399243,199.72551606,111.08546725,115.10634281,88.7290722,0,93.4437121,97.8704585,100.003597,87.753841,89.1190117,102.7712496,89.09720729,86.89488597
2018/05,합계,55.35784803,79.06008739,93.54768682,165.27335979,101.45301897,106.00714406,86.7352682,86.865759,90.1977057,94.9564306,94.3036837,86.1605251,87.5123154,84.4298954,86.79882729,80.42395969
2018/04,합계,57.58065783,80.54125403,96.22307549,185.72356683,103.65891913,108.09594191,90.2556792,90.3854263,92.9296728,96.6900073,97.5972775,90.057801,90.7226994,85.8197623,90.26130673,83.92871967
2018/03,합계,67.52618931,92.18324856,108.98176248,151.84862681,124.37057211,131.41284595,100.9126106,100.9128858,102.5871053,106.959316,114.0962165,100.7062749,101.210552,87.4803743,100.96982033,98.68231102
2018/02,합계,64.04876615,88.23401635,105.69004032,152.83425533,122.61950791,135.62568489,89.3938541,88.728818,90.0812438,98.705369,110.8664641,88.4955692,90.0253186,101.4211196,89.14453715,95.10424298
2018/01,합계,68.10434226,91.88025867,110.41130748,142.56872246,126.07605105,142.25440449,91.4736381,91.5602452,93.6985842,101.877064,115.1818481,91.4174153,91.8578763,105.0588126,91.52002443,99.59004858
2017/12,합계,81.15629745,77.95783464,104.13831685,141.31774724,120.41701501,127.29431775,90.1736727,90.277143,92.6292434,97.8695739,110.894261,90.0512352,90.6022505,97.2772872,89.94503162,93.76153364
2017/11,합계,68.99004843,68.61094441,89.65545714,160.01095509,102.49845098,103.45697445,80.7356734,81.1495496,82.9513715,87.5330139,92.0234344,80.7730631,81.2613422,95.7284113,80.25223118,80.04898968
2017/10,합계,48.26462948,66.13798418,81.08652666,186.14461761,98.3971165,87.14363441,70.7971317,0,75.8617604,87.0269097,80.3674434,69.6441047,71.0843711,95.296046,71.58844607,68.75574717
2017/09,합계,52.29107606,71.08681296,84.88589136,211.58203423,108.88986555,100.93751421,71.6439784,72.136402,78.8528168,83.7433205,87.850294,70.677925,72.1193979,95.8904055,71.63096008,74.42505777
2017/08,합계,57.22600026,75.19273337,89.98391416,214.63498602,112.52939657,110.24358076,74.7529573,74.9131275,83.5173589,85.0458724,90.7314838,72.901429,75.5158122,96.3572046,74.80431934,81.17788294
2017/07,합계,57.70714582,75.20649474,90.11320595,178.19384914,108.7645395,110.97307769,75.1000989,71.0773168,83.8239372,82.033617,92.2976703,73.823237,75.7739645,96.5844731,75.24331375,81.3108728
2017/06,합계,59.36753472,83.95019676,93.79936799,196.32563218,108.03738119,105.1213857,81.6665311,82.527812,86.4791703,91.6492214,97.411108,79.8097421,82.1225134,96.8794675,81.56232358,83.995183
2017/05,합계,53.09978672,77.38179346,84.25130966,173.1844542,101.72408819,96.2247251,77.8975394,78.1390087,81.1705218,83.0064206,87.9884475,77.1242296,78.5063219,96.3549422,78.08648743,75.17539205
2017/04,합계,51.35821394,74.02539641,80.54925293,168.84565702,95.62229768,88.85466893,74.6075323,74.5921312,76.8812808,85.4003677,82.0109086,74.4498968,75.298629,95.5896172,74.5218832,72.13873888
2017/03,합계,65.93672016,91.00699191,109.20660436,233.32079014,120.71219186,116.04641072,91.4749455,91.6494092,93.6387798,102.888498,105.4990117,91.5142915,91.9017788,97.5862805,91.44779928,92.09822559
2017/02,합계,69.36297417,91.81196888,107.88637216,144.33163291,125.4562194,122.43741292,90.5821177,91.3095957,92.6141526,99.5005538,108.324932,90.4554927,91.0754414,97.463622,90.53474778,94.9731073
2017/01,합계,67.56692708,89.84607596,106.07631755,142.24645167,123.92757279,125.21180114,85.381833,88.1371249,85.4945169,92.117047,105.5122541,84.7493413,85.7141153,96.9134255,84.991933,93.11734016
2016/12,합계,95.45168566,92.62685039,106.89061086,125.47607843,125.20708278,137.74042891,86.5778114,87.0226804,88.4583974,91.8257149,103.6685012,86.8359684,86.9500902,97.0394883,86.48338253,102.28147267
2016/11,합계,79.44738993,77.11712542,87.2969689,123.07254124,97.27379093,104.1778228,74.7257742,74.6456558,76.5392877,81.7556224,87.268828,74.5689484,74.9259092,96.0513722,74.63527092,84.90745725
2016/10,합계,70.75876709,68.34078613,78.25628445,90.00923578,81.81607974,83.94211224,73.1622635,72.8179902,75.2228667,80.1065727,80.2674257,73.0939742,73.3189506,96.1208593,73.05982893,73.742471
2016/09,합계,67.0335952,69.232341,78.62563499,126.24816628,88.84805511,89.07143285,70.6334614,74.9530075,73.5514967,79.462342,82.7980566,69.1877844,71.7830294,96.0248796,70.40084483,74.56287659
2016/08,합계,60.55503309,69.93531478,83.16109276,128.35063412,94.66374508,99.28042534,70.8556382,71.6370717,75.3896623,78.1969056,87.9440747,69.9925968,71.3475049,95.8892038,70.93128004,74.67033058
2016/07,합계,57.86798634,66.99859648,78.80977823,103.11394635,91.97647535,101.88994361,66.2208738,66.9322812,70.4017486,72.3851885,78.3642564,65.1662023,66.6935816,95.0417247,66.12712992,71.7856486
2016/06,합계,54.42535877,63.44039013,74.61984044,98.51163718,84.81662438,91.5360244,64.9079747,66.0733534,67.0079773,69.3668966,77.8858181,64.1601363,65.3373855,95.1060679,64.83629349,66.74544422
2016/05,합계,52.33894682,61.17166782,73.86930639,80.29941028,77.76084981,81.62013288,68.273778,72.4813433,69.4550546,69.2607851,73.6459541,68.2418931,68.0590181,95.3765469,68.14009374,62.85318431
2016/04,합계,57.91889862,66.1240326,82.09959441,87.23452923,86.23640359,95.82758005,75.13459,0,74.7041589,75.6724769,80.9722696,74.8122004,74.9311882,96.0784535,74.92838318,68.33472418
2016/03,합계,72.53424974,79.80331289,99.48166646,108.55275886,110.8601469,124.06297936,87.1510607,0,87.2468548,86.7980508,97.981191,87.3840137,87.0930101,97.11593,86.92291452,86.37264847
2016/02,합계,73.18803356,81.54985719,104.61851524,114.20613763,115.30886417,126.04974476,86.572312,93.6799993,84.3339392,86.96695,102.1912616,84.2187869,86.3306595,97.0005862,87.80803748,88.45106712
2016/01,합계,78.18521329,86.08053271,108.88798943,121.76628495,121.70577067,138.72819851,89.9194473,90.6694993,90.4251969,92.0125757,108.6188622,91.0983231,90.031337,97.5194004,89.05262619,94.10576771
2015/12,합계,74.62369018,82.66081699,90.44177276,129.70273941,130.56542277,139.82884547,107.8052919,0,208.8377394,96.8666263,109.9777541,94.7275354,94.9486473,98.2757326,94.8390009,92.65500705
2015/11,합계,69.43578059,77.91267932,86.71075692,119.0518109,119.25516157,129.35932066,137.241821,0,98.0849571,96.7657295,102.4025446,95.8743037,94.7641979,85.9514945,94.27784936,85.03442184
2015/10,합계,67.20948627,76.99599876,82.3926886,121.56873669,109.04135438,121.91769023,97.9341142,0,211.9372933,99.2265751,106.3100061,98.0388981,97.9848695,98.6757764,97.98942047,82.70632728
2015/09,합계,63.70032092,74.52446408,81.27947704,167.3663622,111.89648392,115.21358587,99.9359591,0,93.3832236,99.6579782,100.1784735,84.635043,88.1229684,97.7367706,88.76428725,81.46242302
2015/08,합계,64.87082552,73.85501134,82.11313895,196.31622751,111.90606772,112.76081595,105.5485274,0,94.2535427,96.0592646,101.5806285,85.0872361,87.9282235,97.5314529,86.80709534,82.24847592
2015/07,합계,61.83515481,70.96446361,84.30807601,279.54751805,117.08600638,113.97758733,81.1205257,0,90.4376202,91.9584256,95.3806641,78.0732355,81.1558733,96.4156455,80.11093502,78.47895216
2015/06,합계,46.42496669,76.13985273,97.56937512,193.95196838,107.44311189,141.41059868,134.0499386,0,459.6504377,95.1981382,95.9177858,82.1787353,105.4642401,97.2242989,82.78688525,76.53708432
2015/05,합계,46.09383814,51.89822958,104.65298709,132.6054599,105.81189197,122.65539607,98.482715,0,99.7566696,103.659371,101.5275676,95.4239733,103.5455749,98.4538339,95.62923888,65.47015264
2015/04,합계,50.0235759,54.08045905,112.45311935,129.32599779,113.94793352,130.09017306,121.1135138,0,145.8354702,109.0584152,109.1585991,103.2841614,149.0300516,99.2132486,102.71493213,70.72086522
2015/03,합계,62.34463217,64.92289542,134.23203696,145.08296889,142.12556932,145.68658243,123.5058801,0,153.0227093,118.291241,130.4646802,118.1807103,118.0776247,101.3351949,117.79744346,88.73374275
2015/02,합계,64.90546482,67.43956122,143.15184249,182.0172113,153.34391077,160.31808625,118.5077693,0,245.9985267,127.4974979,138.9336418,112.5170674,193.5742797,99.0787965,116.69941061,92.78241573
2015/01,합계,76.56840959,73.84935601,164.3736242,214.86128663,169.66174905,179.2937291,140.1312892,0,142.0864711,146.7581384,160.9104086,140.1279575,140.2961782,106.5225753,139.43789665,104.22782561
2014/12,합계,44.34461076,62.89287502,92.71964321,203.28704687,159.0671703,167.13194327,147.5366656,0,213.3768809,149.0109883,155.1429518,143.3945821,216.438575,130.89818,142.95366795,89.9383922
2014/11,합계,52.85629378,65.89022694,89.90670848,243.615897,148.97469466,153.17896928,170.4344157,0,146.4387174,144.5534844,141.916235,132.828115,133.1052375,123.3074701,132.68450933,88.07471337
2014/10,합계,52.17421426,63.99527541,90.65210828,280.98746076,148.68646042,147.8492607,161.4889269,0,219.0904771,145.7302001,140.3382419,131.2390336,131.5459121,122.1831948,131.37614679,85.83666765
2014/09,합계,49.92178616,64.25722387,91.67868727,233.18906045,154.73598973,154.81854029,128.3049622,0,171.8900677,149.5646721,139.5955913,123.0554633,128.4351863,94.4694726,136.73469388,86.13366193
2014/08,합계,54.56709575,62.34650782,90.99789334,345.45043412,166.53128794,161.70948477,176.0742197,0,145.7949017,140.2772237,145.7899805,121.546275,126.4205328,90.7205206,127.88732394,83.86576791
2014/07,합계,58.94875987,65.26974523,96.64169845,221.78182052,172.5259161,181.25212207,140.307393,0,250.6449001,148.8306462,164.8609629,136.5287113,140.5426101,94.8382189,147.39884393,93.27167505
2014/06,합계,52.87215004,74.96665344,83.85882811,210.17114184,158.44389434,164.1142545,202.403315,0,587.7630954,145.6541523,149.4511073,132.9184358,231.0995941,93.302092,141.29213483,90.98881038
2014/05,합계,55.35317858,61.55133148,82.86861851,210.00273012,160.38605152,172.66366492,143.0712619,0,149.8514971,150.4273345,156.4653543,142.0351034,143.5508101,97.9883891,146.35364635,85.90452792
2014/04,합계,57.49358965,63.206557,88.11975553,219.92270062,161.30110009,180.6070442,159.5384796,0,167.2088235,163.3447891,163.3900327,149.0946171,149.9541248,98.8297154,148.34874505,90.37359544
2014/03,합계,61.37187646,66.19281302,95.15044535,201.12217453,173.00908515,198.05244629,169.2775338,0,169.9400102,173.3628398,180.3732538,160.8581975,206.1338133,101.2028127,162.10902592,100.00938708
2014/02,합계,57.61622733,63.80917607,94.43435921,201.65966201,165.02327211,201.01158508,151.1975951,0,245.1106101,167.9419807,173.787295,148.9800045,151.2040485,100.3243996,149.73913043,95.02653766
2014/01,합계,58.89224004,66.88606766,94.7362637,226.92833788,162.22239658,190.89796782,146.7222554,0,175.0847559,152.8491682,165.9630256,138.546602,140.727411,96.0438241,138.78691141,95.16022875
2013/12,합계,12.84203113,46.01305471,70.60039715,203.70602643,153.99877686,192.98480202,159.3582401,0,207.425635,159.7440651,166.1212015,148.9389103,148.4058037,100.3661689,146.51539708,76.13118841
2013/11,합계,19.46068849,47.72363565,74.6395266,208.32885806,148.33996462,179.13655292,147.2646867,0,151.7190837,155.02123,160.294775,143.5230096,144.4233392,92.7640028,143.49710983,76.39503635
2013/10,합계,29.15562859,53.09668371,89.43712755,215.44236857,161.62013448,193.9114283,158.7440802,0,186.2228313,169.7161442,172.0489664,151.0793855,155.31437,98.8130739,164.78873239,83.30091547
2013/09,합계,26.65035773,54.58357515,85.20039457,231.97828757,158.26669867,178.21927182,180.1791131,0,221.5479818,154.3445891,149.161946,123.6110509,181.0666044,91.1683207,,74.5233547
2013/08,합계,32.72627349,56.82661138,94.51862715,232.63129829,166.90398968,211.41468415,150.9993703,0,163.3121247,156.300564,168.7443008,150.9524569,152.3092689,90.4999509,,87.36958815
2013/07,합계,52.48469948,67.28927812,102.9004044,227.78421647,169.92085399,228.36444142,151.7940696,0,166.8265486,162.5725517,168.0465285,147.48837,150.9979348,102.2055255,,98.27168824
2013/06,합계,48.84956812,63.24140628,90.15944843,229.8655213,162.37215196,214.57480328,154.1877259,0,167.1739433,171.0903467,174.0569565,149.1902778,154.7058249,102.3435207,,94.19890626
2013/05,합계,47.97603198,61.54474515,90.10872669,230.18516814,156.46233391,200.64820381,148.1718253,0,157.046506,156.2350768,165.4957027,146.3798903,148.8246514,100.2637102,,90.39804959
2013/04,합계,51.31067176,62.23139533,96.85465118,219.93648071,165.64377134,211.54832322,160.7864861,0,169.5806384,174.1313532,177.6105308,158.5951524,161.223762,106.2843797,,97.00831299
2013/03,합계,48.47597933,63.30732889,91.80642664,213.73443908,162.36697608,206.59124458,150.8428255,0,154.1597643,164.9597515,164.2467504,149.7925752,150.7948375,105.0894179,,89.99655558
2013/02,합계,48.24412938,61.72956251,101.30964972,212.73229756,160.6022135,208.15897921,148.4144941,0,151.3622838,164.3976019,165.3436737,145.8002186,149.0050545,103.5773757,,90.06842463
2013/01,합계,52.67065231,67.11492288,105.35187713,232.31178917,164.65006456,229.36176021,150.1203549,0,160.2095334,165.5420904,172.8669848,151.3720312,151.3844452,103.0749609,,95.79322467
2012/12,합계,28.4450052,48.96202152,73.60983696,237.93704138,147.68508234,241.53337775,161.6805642,,183.3948921,172.3249168,189.889589,164.8029994,160.607851,73.8494442,1983.40061095,80.4010413
2012/11,합계,25.85991179,51.64820322,78.97060246,240.28663435,136.01626365,181.22077436,136.0952341,,145.8535188,160.026981,156.5642234,137.4416207,137.2905085,73.5841913,1036.92302914,75.19710256
2012/10,합계,27.34083833,53.33304414,68.25572874,249.90205072,154.55028961,192.0295637,146.425405,,156.8840746,172.0137255,166.4719398,143.3860396,147.4964526,82.9641489,1006.34838818,72.21361186
2012/09,합계,25.37241606,55.72939487,77.47182373,257.36078755,157.51381203,163.95202392,130.2054992,,138.2318632,147.9076848,145.4953522,123.8456155,130.2399953,68.873161,792.85229273,67.46672217
2012/08,합계,42.53954494,69.40335322,105.45871003,260.45366987,182.57438767,213.44272078,157.0363475,,174.109206,170.2861179,176.8482732,151.5374749,157.1921793,71.4878826,982.43612912,91.39195171
